Property Id,Property Name,Parent Property Id,Parent Property Name,City,Primary Property Type - Portfolio Manager-Calculated,Year Built,Construction Status,Occupancy,Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings) (ft²),Borough,Metered Areas (Energy),Metered Areas (Water),ENERGY STAR Score,National Median ENERGY STAR Score,Target ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Source EUI (kBtu/ft²),Source Energy Use (kBtu),Green Power - Onsite and Offsite (kWh),eGRID Output Emissions Rate (kgCO2e/MBtu),Percent of Electricity that is Green Power,"Alert - Data Center Issue (with Estimates, IT Configuration, or IT Meter)",Alert - Energy Meter has less than 12 full calendar months of data,Alert - Energy Meter has gaps,Alert - Energy Meter has overlaps,Alert - Energy - No meters selected for metrics,Alert - Energy Meter has single entry more than 65 days,Alert - Water Meter has less than 12 full calendar months of data,Alert - Property has no uses,Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Net Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),Building Age,Base LL97 Penalty,Base Penalty $/ft²,Decade Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),District Steam Use (kBtu),Diesel #2 Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu),GHG Emissions Intensity,Calculated Limit,Excess Emissions
3129098,106-108 Marcy Place,Standalone,Standalone,New York City,Multifamily Housing,1925,Existing,100,61143.0,61143.0,Bronx,Whole Property,Whole Property,100.0,50,,25.9,1584454.9,54.6,3338558.7,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,103.9,1.7,103.9,205.4,96,0.0,0.4554,1920s,,,,,,,,,627380.0,957074.9,0.001699295095104918,305.71500000000003,0.0
3485535,195 Morgan Ave,Standalone,Standalone,New York City,Office,1930,Existing,100,84000.0,84000.0,Brooklyn,Whole Property,Whole Property,100.0,50,,9.1,764055.3,25.3,2125004.8,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,56.2,0.7,56.2,367.6,91,0.0,0.1793,1930s,,,,,,,,,8200.0,755855.3,0.0006690476190476191,420.0,0.0
12798828,916 Southern Blvd,Standalone,Standalone,New York City,Multifamily Housing,1911,Existing,100,50030.0,50030.0,Bronx,Whole Property,Whole Property,41.0,50,,101.5,5079128.2,114.2,5715276.9,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,274.3,5.5,274.3,259.8,110,6472.200000000002,1.4694,1910s,,,,,,,,,4860732.6,218395.6,0.005482710373775735,250.15,24.150000000000006
5765349,230 West 125 St,Standalone,Standalone,New York City,College/University,1922,Existing,95,148355.0,148355.0,Manhattan,Whole Property,Whole Property,,50,,120.5,17884055.6,260.0,38572902.5,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,1183.7,8.0,1183.7,822.3,99,118435.90000000002,2.1383,1920s,,,,,,,,,6572830.4,11311225.2,0.007978834552256413,741.775,441.92500000000007
6454026,2580-2594 7TH AVENUE,6610569,Dunbar Apartments (BBL 1-02035-0001),New York City,Multifamily Housing,2005,Existing,95,74576.0,74576.0,Manhattan,Whole Property,Whole Property,56.0,50,,102.0,7609223.9,129.1,9630955.5,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,423.5,5.7,423.5,441.6,16,13566.160000000002,1.5219,2000s,,,,,,,,,6671355.1,937868.8,0.0056787706500750915,372.88,50.620000000000005
6454050,2816 Frederick Douglas Blvd,6610569,Dunbar Apartments (BBL 1-02035-0001),New York City,Multifamily Housing,1928,Existing,90,96245.0,96245.0,Manhattan,Whole Property,Whole Property,33.0,50,,120.7,11617345.3,155.3,14948960.7,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,649.5,6.7,649.5,576.1,93,45097.7,1.8086,1920s,,,,,,,,,10045489.2,1571856.1,0.006748402514416333,481.225,168.27499999999998
6610569,Dunbar Apartments (BBL 1-02035-0001),6610569,Dunbar Apartments (BBL 1-02035-0001),New York City,Multifamily Housing,1928,Existing,95,432493.0,432493.0,Manhattan,Whole Property,Whole Property,30.0,50,,130.8,56579217.5,162.9,70443592.8,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,3135.5,7.2,3135.5,2756.5,93,260773.37999999995,1.943,1920s,,,,,,,,,50273266.4,6305951.1,0.007249828320920801,2162.465,973.0349999999999
3061432,3300 Bailey Avenue,Standalone,Standalone,New York City,Multifamily Housing,1910,Existing,100,106190.0,106190.0,Bronx,Whole Property,Whole Property,54.0,50,,76.6,8137288.8,100.4,10659330.8,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,457.2,4.3,457.2,470.9,111,0.0,1.1539,1910s,,,,,,,,,6928615.9,1208672.9,0.0043054901591486954,530.95,0.0
3061534,3150 Bailey Avenue,Standalone,Standalone,New York City,Multifamily Housing,1910,Existing,100,66902.0,66902.0,Bronx,Whole Property,Whole Property,19.0,50,,106.4,7117078.2,137.4,9189964.7,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,398.3,6.0,398.3,320.7,111,17095.720000000005,1.5955,1910s,,,,,,,,,6135916.7,981161.5,0.005953484200771277,334.51,63.79000000000002
6299820,2160 Anthony Avenue,Standalone,Standalone,New York City,Multifamily Housing,1927,Existing,90,51805.0,51805.0,Bronx,Whole Property,Whole Property,15.0,50,,108.0,5593217.3,137.3,7114360.2,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,311.7,6.0,311.7,241.9,94,14116.900000000003,1.6125,1920s,,,,,,,,,4883798.9,709418.3,0.006016793745777434,259.025,52.67500000000001
